種類,日付,時刻,ソース,分類,イベント,ユーザー,コンピュータ
成功の監査,2010/04/28,16:06:59,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,16:01:59,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,16:00:51,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,16:00:24,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:58:50,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,15:58:50,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,15:40:17,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:14:27,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:14:13,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:11:33,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:11:11,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:10:53,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:08:28,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:07:14,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:01:07,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:00:55,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,15:00:41,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:58:03,Security,ログオン/ログオフ ,538,SYSTEM,ISID18555
成功の監査,2010/04/28,14:58:02,Security,ログオン/ログオフ ,540,SYSTEM,ISID18555
成功の監査,2010/04/28,14:58:02,Security,特権の使用 ,576,SYSTEM,ISID18555
成功の監査,2010/04/28,14:57:24,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:55:23,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:54:42,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:54:23,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:53:45,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:53:07,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:52:46,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:51:11,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:50:22,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,14:23:50,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,13:58:44,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,13:58:44,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,13:39:06,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,13:39:06,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,13:23:57,Security,ログオン/ログオフ ,538,SYSTEM,ISID18555
成功の監査,2010/04/28,13:23:57,Security,ログオン/ログオフ ,540,SYSTEM,ISID18555
成功の監査,2010/04/28,13:23:57,Security,特権の使用 ,576,SYSTEM,ISID18555
成功の監査,2010/04/28,13:21:30,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,13:21:12,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,13:20:50,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,13:05:30,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,13:05:30,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,12:45:29,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,12:45:29,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,12:12:26,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,12:00:58,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,12:00:58,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:58:28,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:58:28,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:58:02,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,11:57:20,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,11:57:09,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,11:57:05,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,11:56:49,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,11:56:44,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,11:53:38,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,11:53:35,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:53:35,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:53:32,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:44,Security,特権の使用 ,576,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:52:44,Security,ログオン/ログオフ ,528,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:52:39,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:52:39,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:52:34,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:52:34,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:52:30,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:52:30,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:52:16,Security,特権の使用 ,576,tomohiro,ISID18555
成功の監査,2010/04/28,11:52:16,Security,ログオン/ログオフ ,528,tomohiro,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,858,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,858,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,850,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,849,SYSTEM,ISID18555
成功の監査,2010/04/28,11:52:04,Security,ポリシーの変更 ,848,SYSTEM,ISID18555
成功の監査,2010/04/28,11:51:57,Security,ログオン/ログオフ ,538,SYSTEM,ISID18555
成功の監査,2010/04/28,11:51:57,Security,ログオン/ログオフ ,538,SYSTEM,ISID18555
成功の監査,2010/04/28,11:51:57,Security,ログオン/ログオフ ,540,SYSTEM,ISID18555
成功の監査,2010/04/28,11:51:57,Security,特権の使用 ,576,SYSTEM,ISID18555
成功の監査,2010/04/28,11:51:56,Security,ログオン/ログオフ ,540,SYSTEM,ISID18555
成功の監査,2010/04/28,11:51:56,Security,特権の使用 ,576,SYSTEM,ISID18555
成功の監査,2010/04/28,11:51:55,Security,特権の使用 ,576,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:55,Security,ログオン/ログオフ ,528,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:43,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:51:43,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:51:39,Security,ポリシーの変更 ,615,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:51:39,Security,特権の使用 ,576,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:39,Security,ログオン/ログオフ ,528,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:32,Security,ログオン/ログオフ ,540,ANONYMOUS LOGON,ISID18555
成功の監査,2010/04/28,11:51:31,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:51:31,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:51:31,Security,特権の使用 ,576,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:31,Security,ログオン/ログオフ ,528,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:31,Security,特権の使用 ,576,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:31,Security,ログオン/ログオフ ,528,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:27,Security,ポリシーの変更 ,806,SYSTEM,ISID18555
成功の監査,2010/04/28,11:51:22,Security,特権の使用 ,576,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:22,Security,ログオン/ログオフ ,528,LOCAL SERVICE,ISID18555
成功の監査,2010/04/28,11:51:22,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:51:22,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:51:22,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/28,11:51:22,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/27,19:54:01,Security,ログオン/ログオフ ,551,tomohiro,ISID18555
成功の監査,2010/04/27,19:51:34,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/27,19:51:34,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/27,19:42:17,Security,特権の使用 ,576,NETWORK SERVICE,ISID18555
成功の監査,2010/04/27,19:42:17,Security,ログオン/ログオフ ,528,NETWORK SERVICE,ISID18555
成功の監査,2010/04/27,19:37:46,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:36:01,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:06:40,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:05:59,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:05:47,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:05:43,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:05:06,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:04:57,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:04:47,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:04:09,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:03:49,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:03:04,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:02:54,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:02:36,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:02:29,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:02:19,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:01:56,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:01:44,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:01:11,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,19:00:08,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:59:14,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:59:06,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:58:34,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:58:18,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:56:52,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:56:26,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:55:32,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:53:45,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:53:26,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:53:26,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:38:45,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:38:44,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:38:35,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:38:34,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:35:01,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:34:59,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:33:48,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:33:46,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:33:21,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:33:17,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:33:11,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:33:02,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:32:57,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:32:51,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:29:09,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:28:57,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:28:14,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:28:01,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:27:50,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:27:36,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:27:16,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:27:07,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:26:59,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:26:45,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:25:55,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:23:11,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:23:00,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:22:00,Security,ログオン/ログオフ ,538,SYSTEM,ISID18555
成功の監査,2010/04/27,18:22:00,Security,ログオン/ログオフ ,540,SYSTEM,ISID18555
成功の監査,2010/04/27,18:22:00,Security,特権の使用 ,576,SYSTEM,ISID18555
成功の監査,2010/04/27,18:18:36,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:18:19,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:18:07,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:17:52,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
成功の監査,2010/04/27,18:13:53,Security,ログオン/ログオフ ,552,SYSTEM,ISID18555
